U0;442;TransparentCalls;0.88;503;6;43
US;46;464;E-Voice;0.98;231;9;46
GB;25;490;TransparentCalls;0.98;641;38;38
FR;99;874;TransparentCalls;0.64;421;66;53
BL;97;1845;E-Voice;0.79;763;42;25
AT511115;TransparentCalls;0.98;946;17;43
BG;52;1594;E-Voice;0.94;914;71;57
DK;58;1133;JustPhone;0.79;902;79;52
CA;75;299;JustPhone;0.83;489;88;12
ES;4;1547;E-Voice;0.76;523;63;51
CH;38;1614;JustPhone;0.68;865;16;17
TR;1;1624;TransparentCalls;0.85;548;63;12
PE;62;269;JustPhone;0.64;82;62;31
NZ;89;205;JustPhone;0.97;856;65;57
MC;83;1732;E-Voice;0.64;694;47;57
